hsn_code,description
0101,"Live horses, asses, mules and hinnies."
01012100,Pure-bred breeding animals
010129,Others;
0101.29.10,Horses for polo
0101.29.90,Other
010130,Asses
0101.30.10,Pure-bred breeding animals
0101.30.20,Livestock
0101.30.90,Other
0101.90,Other
0101.90.30,Mules and hinnies as livestock
0101.90.90,Other
0102,Live bovine animals.
010221,Pure-bred breeding animals
0102.21.10,bulls
0102.21.20,cows
0102..29,Other
0102.29.10,Bulls
01022990,Other including calves
0102.31.00,Pure-bred breeding animals
0102.39.00,Other
0102.90,Other
0102.90.10,Pure-bred breeding animals
0102.90.90,Other
0103,Live swine.
0103.10.00,pure-bred breeding animals
0103.91.00,-- Weighing less than 50 kg
0103.92.00,weighing 50 kg or more
0104,Live sheep and goats.
0104.10,Sheep
0104.10.10,sheep including lamb for breeding purpose
0104.10.90,Other
0104.20.00,Goats
01051100,Fowls of the species gallus domesticus
01051200,Turkeys
01051300,Ducks
01051400,Geese
01051500,Guinea fowls
01059400,Fowls of the species Gallus domesticus
01059900,Other
0106,Other live animals.
01061100,primates
01061200,"manatees and dugongs (mammals of the order Sirenia); seals, Sea"
01061300,Camels and other camelids (Camelidae)
01061400,Rabbits and hares
01061900,Other
01062000,Reptiles (including snakes and turtles)
01063100,Birds of prey
01063200,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)"
01063300,Ostriches emus (Dromaius no vaehollandiae)
01063900,Other
010641,Bees
01064110,pureline stock
01064190,Other
010649,Other
01064910,pureline stock
01064990,Other
01069000,Other
0201,"Meat of bovine animals, fresh and chilled."
0201.10.00,Carcasses and half carcasses
0201.20.00,Other cuts with bone in
0201.30.00,Boneless
0202,"Meat of bovine animals, frozen."
0202.10.00,Carcasses and half carcasses
0202.20.00,Other cuts with bone in
0202.30.00,Boneless
0203,"Meat of swine, fresh, chilled or frozen."
0203.11.00,Carcasses and half carcasses
0203.12.00,"Hams, shoulders and cuts thereof, with bone in"
0203.19.00,Other
0203.21.00,Carcasses and half carcasses
0203.22.00,"Hams, shoulders and cuts thereof, with bone in"
0203.29.00,other
0204,"Meat of sheep or goats, fresh, chilled or frozen."
0204.10.00,"Carcasses and half carcasses of lamb, fresh or chilled"
0204.21.00,Carcasses and half carcasses
0204.22.00,Other cuts with bone in
0204.23.00,Boneless
0204.30.00,"Carcasses and half-Carcasses of lamb, frozen"
0204.41.00,Carcasses and half-Carcasses
0204.42.00,Other cuts with bone in
0204.43.00,Boneless
0204.50.00,Meat of Goats
0205,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen."
0205.00.00,"Meat of Horses, asses, mules or hinnies, fresh, chiilled or frozen"
0206.10,"of bovine animals, fresh or chilled"
0206.10.00,Of bovine animals fresh or chilled
0206.21.00,Tongues
0206.22.00,Livers
0206.29.00,Other
0206.30.00,"Of swine, fresh or chilled"
0206.41.00,Livers
0206.49.00,Other
0206.80,"Other, fresh or chilled"
0206.80.10,Of sheep or goats
0206.80.90,Other
0206.90,"Other, frozen"
0206.90.10,Of sheep or goats
0206.90.90,Other
02071100,"Not cut in pieces, fresh or chilled"
02071200,"Not cut in pieces, frozen"
02071300,"cuts and offal, fresh or chilled"
02071400,"Cuts and offal, frozen"
02072400,"Not cut in pieces, fresh or chilled"
02072500,"Not cut in pieces, frozen"
02072600,"Cuts and offal, fresh or chilled"
02072700,"cuts and offal, frozen"
02074100,"Not cut in pieces , fresh or chilled"
02074200,"Not cut in pieces, frozen"
02074300,"Fatty Livers, fresh or chilled"
02074400,"Other, fresh or chilled"
02074500,"Other, frozen"
02075100,"Not cut in pieces , fresh or chilled"
02075200,Not cut in pieces frozen
02075300,"Fatty Livers, fresh or chilled"
02075400,Other fresh or chilled
02075500,Other frozen
02076000,Of guinea fowls
0208,"Other meat and edible meat offal, fresh, chilled or frozen."
0208.10.00,Of rabbits or hares
0208.30.00,of Primates
02084000,"of manatees and dugongs (mammals of the order Sirenia); of seals,"
02085000,of Reptiles (including snakes and turtles)
02086000,of camels and other camelids (camelidae)
0208.90,Other
0208.90.10,Of wild animals
0208.90.90,Other
02091000,of pigs
02099000,Other
02101100,"Hams, shoulders and cuts thereof, with bone in"
02101200,Bellies (streaky) and cuts thereof
02101900,Other
0210.2000,Meat of bovine animals
02109100,of Primates
0210.9200,"of manatees and dugongs (mammals of the order Serenia): of seals,"
02109300,of Reptiles (including snakes and turtles)
0210.99.00,Other
0301,Live fish.
03011100,Fresh water
03011900,Other
03019100,"Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus"
0301.92.00,Eels (Anguilla spp.)
030193,00
03019400,"Atlantic and Pacipic bluefin tunas (Thunnus thynnus, orientalis)"
03019500,Southern Bluefin tunas (Thunnus maccoyii)
03019900,Other
03021100,"Oncorhyncus aguabonita, Oncorhyncus gilae, Oncorhyncus apache"
030213,00
03021400,Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)
03021900,Other
030221,00
03022200,Plaice (Pleuronectes platessa)
03022300,Sole (Solea spp.)
03022400,Turbots (Psetta maxima)
0302.29.00,Other
0302.3100,Albacore or long finned tunas (Thunnus alalunga)
0302.32.00,Yellowfin tunas (Thunnus albacares)
0302.3300,Skipjack or stripe-bellied bonito
0302.3400,Bigeye tunas (Thunnus obesus)
0302.3500,"Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)"
0302.3600,Southern bluefin tunas (Thunnus maccoyii)
0302.3900,Other
0302.4100,"Herrings (Clupea harengus, Clupea pallasii)"
03024200,Anchovies (Engraulis spp.)
030243,00
03024400,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)"
03024500,Jack and horse mackerel (Trachurus spp.)
03024600,Cobia (Rachycentron canadum)
03024700,Sword fish (Xiphias gladius)
03024900,Other
0302.5100,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)"
0302.5200,Haddock (Melangrammus aegllefinus)
0302.5300,Coal fish (Pollachinus virens)
0302.54.00,"Hake (Merluccius spp., Urophycis spp.)"
03025500,Alaska Pollack (Theragra chalcogramma)
0302.56.00,"Blue whittings (Micromesistius poutassou, Micromesistius australis)"
03025900,Other
03027100,"Tilapias (Oreochromis spp.),"
03027200,"Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)"
03027300,"Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla,"
03027400,Eels (Anguilla spp.)
03027900,Other
03028100,Dogfish and other sharks
03028200,Rays and skates (Rajidae)
03028300,Tooth fish (Dissostichus spp.)
03028400,Seabass (Dicentrarchus spp.)
03028500,Seabream (Sparidae)
030289,Other
03028910,Hilsa ( Tenualosa ilisha)
03028920,Dara
03028930,Pomfret
03028990,Other
030291,"Livers, roes and milt:"
03029110,"Livers, roes and milt"
030292,Shark fins:
03029210,Shark fins
030299,Other:
03029910,"Fish fins other than shark fins; heads, tails and maws"
03029990,Other edible fish offal
0303.1100,Sockeye salmon (red salmon) (Oncorhynchus nerka)
0303.12.00,"keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch,"
0303.1300,Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)
03031400,"Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus"
0303.19.00,Other
0303.2300,Tilapias (Oreochromis spp.)
03032400,"Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)"
030325,00
03032600,Eels (Anguilla spp.)
0303.29.00,Other
0303.31,00
0303.3200,Plaice (Pleuronectes platessa)
0303.33.00,Sole (Solea spp.)
0303.34.00,Turbots (Psetta maxima)
0303.39.00,Other
0303.4100,Albacore or long finned tunas (Thunnus alalunga)
0303.4200,Yellowfin tunas (Thunnus albacares)
0303.4300,Skipjack or stripe-bellied bonito
0303.4400,Bigeye tunas (Thunnus obesus)
0303.4500,"Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)"
0303.4600,Southern bluefin tunas (Thunnus maccoyii)
0303.4900,Other
0303.5100,"Herrings (Clupea harengus, Clupea pallasii)"
0303.53,00
0303.54.00,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)"
0303.5500,Jack and horse mackerel (Trachurus spp.)
0303.56.00,Cobia (Rachycentron canadum)
0303.5700,Sword fish (Xiphias gladius)
03036300,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)"
0303.6400,Haddock (Melanogrammus aeglefinus)
0303.65.00,Coal fish (Pollachius virens)
03036600,"Hake (Merluccius spp., Urophycis spp.)"
03036700,Alaska Pollack (Theragra chalcogramma)
03036800,"Blue whitings (Micromesistius poutassou, Micromesistiusaustralis)"
03036900,Other
030381,Dogfish and Other sharks
03038110,Dogfish
03038190,Other Sharks
03038200,Rays and skates (Rajidae)
03038300,Tooth fish (Dissostichus spp.)
03038400,Seabass (Dicentrarchus spp.)
030389,Other
03038910,Hilsa (Tenualosa ilisha)
03038920,Dara
03038930,Ribbon fish
03038940,Seer
03038950,Pomfret (white or silver or black)
03038960,Ghol
03038970,Threadfin
03038980,"Croakers, groupers and flounders"
03038990,Other
030391,"Livers, roes and milt:"
03039110,Egg or egg yolk of fish
03039190,Other
030392,Shark fins:
03039210,Shark fins
030399,Other:
03039910,"Fish fins other than shark fins, heads, tails and maws"
03039990,Other edible fish offal
0304.3100,Tilapias (Oreochromis spp.)
0304.32.00,"Catfish (Pangasius spp., Silurus spp Clarias spp Ictalurus spp.)"
0304.3300,Nile Perch (Lates niloticus)
0304.39.00,Other
03044200,"Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache"
0304.43,00
0304.4500,Swordfish (Xiphias gladius)
0304.46.00,Toothfish(Dissostichus spp.)
03044700,Dogfish and other sharks
03044800,Rays and skates (Rajidae)
0304.49,Other
0304.49.10,Hilsa (Tenualosa ilisha)
0304.49.30,Seer
0304.49.40,Tuna
0304.49.90,Other
0304.51,00
0304.52.00,Salmonidae
0304.5300,"Macrouridae, Melanonidae, Merlucciidae, Moridae and"
0304.54.00,Swordfish (Xiphias gladius)
0304.5500,Toothfish (Dissostichus spp.)
03045600,Dogfish and other sharks
03045700,Rays and skates (Rajidae)
0304.59,Other
03045910,Hilsa (Tenualosa ilisha)
03045930,Seer
03045940,Tuna
03045990,Other
03046100,Tilapias (Oreochromis spp.)
03046200,"Catfish (Pangasius spp., Silurus spp Clarias spp Ictalurus spp.)"
03046300,Nile Perch (Lates niloticus)
03046900,Other
03047100,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)"
03047200,Haddock (Melanogrammus aeglefinus)
03047300,Coalfish (Pollachius virens)
03047400,"Hake (Merluccius spp., Urophycis spp.)"
03047500,Alaska Pollack (Theragra chalcogramma)
03047900,Other
030481,00
03048200,"Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache"
030483,00
03048400,Swordfish (Xiphias gladius)
03048500,Toothfish (Dissostichus spp.)
03048600,"Herrings (Clupea harengus, Clupea pallasii)"
030487,00
030488,"Dogfish, other sharks Rays and skates (Rajidae):"
03048810,Dogfish
03048820,Other sharks
03048830,Rays and skates (Rajidae)
030489,Other
03048910,Hilsa (Tenualosa ilisha)
03048930,Seer
03048940,Tuna
03048990,Other
03049100,Swordfish (Xiphias gladius)
03049200,Toothfish (Dissostichus spp.)
03049300,"Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla,"
03049400,Alaska Pollack (Theragra chalcogramma)
03049500,"Macrouridae, Melanonidae, Merlucciidae, Moridae and"
03049600,Dogfish and other sharks
03049700,Rays and skates (Rajidae)
03049900,Other
0305,"before or during the smoking process; flours, meals and pellets of"
0305.1000,"Flours, meals and pellets of fish, fit for human consumption"
0305.2000,"Livers, roes and milt of fish, dried, smoked, salted or in brine"
030532,00
03053900,Other
0305.41,00
0305.42.00,"Herrings (Clupea harengus, Clupea pallasii)"
0305.43.00,"Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache"
030544,00
0305.4900,Other
0305.51.00,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)"
030552,00
030553,00
03055400,"spp.), jack and horse mackerel (Trachurus spp.), jacks, crevalles"
0305.59,Other
0305.59.10,mumbai duck
0305.59.20,seer without head
0305.59.30,sprats
0305.59.90,other
0305.6100,"Herrings (Clupea harengus, Clupea pallasii)"
0305.6200,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)"
0305.6300,Anchovies (Engraulis spp.)
0305.69,Other
0305.69.10,mumbai duck
0305.69.20,seer without head
0305.69.30,sprats
0305.69.90,other
03057100,"Shark fins,"
03057200,"Fish heads, tails and maws"
03057900,Other
0306,"or by boiling in water, whether or not chilled, frozen, dried, salted or"
0306.11,00
0306.12,Lobsters (Homarus spp.)
0306.12.10,whole cooked
0306.12.90,other
0306.1400,Carbs
03061500,Norway lobsters (Nephrops norvegicus)
0306.16,"Cold water shrimps and prawns (Pandalus spp., Crangon rangon):"
0306.1610,Accelerated Freeze Dried (AFD)
0306.1690,Other
030617,Other shrimps and prawns:
03061711,Accelerated Freeze Dried (AFD)
03061719,Other
03061790,Other
0306.21,00
0306.2200,Lobsters (Homarus spp.)
0306.2400,Crabs
03062500,Norway lobsters (Nephrops norvegicus)
03062600,"Cold water shrimps and prawns (Pandalus spp., Crangon rangon):"
030627,Other shrimps and prawns:
03062710,Powdered
03062790,Other
03063100,"Rock lobster and other sea crawfish (Palinurus spp., Jasus spp.)"
03063200,Lobsters ( Homarus spp.)
03063300,Crabs
03063400,Norway lobsters (Nephrops norvegicus)
03063500,"Cold water shrimps and prawns (Pandalus spp., Crangon crangon)"
03063600,Other shrimps and prawns
03063900,"Other, including flours, meals and pellets of crustaceans, fit for human consumption"
03069100,"Rock lobster and other sea crawfish (Palinurus spp., Jasus spp.)"
03069200,Lobsters ( Homarus spp.)
03069300,Crabs
03069400,Norway lobsters (Nephrops norvegicus)
03069500,Shrimps and prawns
03069900,"Other, including flours, meals and pellets of crustaceans, fit for human consumption"
0307,"molluscs, live, fresh, chilled, frozen, dried, salted or in brine; flours,"
03071100,Live fresh or child
03071200,Frozen
03071900,Other
03072100,"live, fresh or chilled"
03072200,Frozen
03072900,other
03073100,"Live, fresh or chilled"
03073200,Frozen
030739,Other
03073910,"clams, clam meat (bivalves-Victoria, spp., Mertrix spp.and Katalysia spp.)"
03073990,Other
030742,"Live, fresh or chilled:"
03074210,Cuttle fish
03074220,Squid
030743,Frozen:
03074310,Cuttle fish
03074320,Whole squids
03074330,Squid tubes
030749,Other
03074910,Cuttle fish
03074920,Whole squids
0307.49.30,Squid tubes
03074940,Dried squids
0307.49.90,other
0307.51.00,"live, fresh or chilled"
03075200,Frozen
0307.59.00,other
0307.60.00,"snails, other than sea snails"
03077100,"Live, fresh or chilled"
03077200,Frozen
03077900,Other
03078100,"Live, fresh or chilled abalone (Haliotis spp.)"
03078200,"Live, fresh or chilled stromboid conchs (Strombus spp.)"
03078300,Frozen abalone (Haliotis spp.)
03078400,Frozen stromboid conchs (Strombus spp.)
03078700,Other abalone (Haliotis spp.)
03078800,Other stromboid conchs (Strombus spp.)
03078900,Other
03079100,"Live, fresh or chilled"
03079200,Frozen
03079900,Other
0308,"Sea cucumbers (Stichopus japonicus, Holothuroidea)"
03081100,Live fresh or child
03081200,Frozen
03081900,Other
03082100,"Live, fresh or chilled"
03082200,Frozen
03082900,Other
